Batsman,Batsman_Name,Bowler,Bowler_Name,Commentary,Detail,Dismissed,Id,Isball,Isboundary,Iswicket,Over,Runs,Timestamp
3676,MS Dhoni,64151,Mohammad Saifuddin,"Good length ball on off, Dhoni strokes it wide of sweeper cover and gets two.",,,332,True,,,48.1,2,2019-07-02 13:07:42
5132,Bhuvneshwar Kumar,63881,Mustafizur Rahman,Slower bouncer to end the over. Bhuvneshwar ducks under it. End of a fabulous over. Just 3 runs and a wicket off it.,,,331,True,,,47.6,0,2019-07-02 13:06:42
3676,MS Dhoni,63881,Mustafizur Rahman,"Length delivery around off, Dhoni runs it down to third man and gets to the other end. 300 comes up for India with that.",,,330,True,,,47.5,1,2019-07-02 13:06:15
3676,MS Dhoni,63881,Mustafizur Rahman,"Good length ball outside off, Dhoni lets it carry to the keeper.",,,329,True,,,47.4,0,2019-07-02 13:05:32
5132,Bhuvneshwar Kumar,63881,Mustafizur Rahman,"Good length ball on off, Bhuvneshwar pushes it towards cover and gets a single. Bhuvi is off the mark.",,,328,True,,,47.3,1,2019-07-02 13:04:58
3632,Dinesh Karthik,63881,Mustafizur Rahman,OUT! Caught! Karthik does not leave a lasting impression in his first outing. Mustafizur bends his back on this one and bowls a slower bouncer. Karthik looks to pull but the ball rises onto him. He ends up getting a top edge which goes to the left of cover. Mosaddek there moves on that side and takes a simple catch.,W,3632,326,True,,1,47.2,0,2019-07-02 13:03:29
3676,MS Dhoni,63881,Mustafizur Rahman,"On the pads, Dhoni flicks it towards mid-wicket and gets a single.",,,325,True,,,47.1,1,2019-07-02 13:02:17
3676,MS Dhoni,64151,Mohammad Saifuddin,"Almost a calamity there. Fuller around off, Dhoni strokes it towards third man and takes a single. Karthik wanted a second as the ball went past the keeper. Dhoni though rightfully sends him back. 9 runs off the over.",,,324,True,,,46.6,1,2019-07-02 13:01:16
3632,Dinesh Karthik,64151,Mohammad Saifuddin,Now comes down the track and flicks it towards deep mid-wicket for a single.,,,323,True,,,46.5,1,2019-07-02 13:00:43
3632,Dinesh Karthik,64151,Mohammad Saifuddin,"FOUR! Creamed! Full around off, Karthik creams it away through point and gets a boundary.",,,322,True,1,,46.4,4,2019-07-02 13:00:00
3676,MS Dhoni,64151,Mohammad Saifuddin,"Full on off, Dhoni pushes it towards cover and gets to the other end.",,,321,True,,,46.3,1,2019-07-02 12:59:30
3632,Dinesh Karthik,64151,Mohammad Saifuddin,"Good length ball on off, DK punches it to sweeper cover for a single.",,,320,True,,,46.2,1,2019-07-02 12:58:55
3676,MS Dhoni,64151,Mohammad Saifuddin,"Length ball on off, Dhoni strokes it towards point and gets a single.",,,319,True,,,46.1,1,2019-07-02 12:58:04
3632,Dinesh Karthik,63881,Mustafizur Rahman,"Fuller on off, Karthik pushes it to the man at cover.",,,317,True,,,45.6,0,2019-07-02 12:56:40
3676,MS Dhoni,63881,Mustafizur Rahman,"Back of a length ball around off, Dhoni pulls it to square leg and rotates the strike.",,,316,True,,,45.5,1,2019-07-02 12:56:11
3632,Dinesh Karthik,63881,Mustafizur Rahman,Cut nicely but there is a man at third man for a single.,,,315,True,,,45.4,1,2019-07-02 12:55:34
3676,MS Dhoni,63881,Mustafizur Rahman,"On the pads, Dhoni flicks it to the on side and gets a single.",,,314,True,,,45.3,1,2019-07-02 12:54:40
3676,MS Dhoni,63881,Mustafizur Rahman,"Good length ball on off, Dhoni punches it towards cover and takes a single. The fielder there scores a direct hit at the bowler's end but Dhoni was in. The ball then deflects off the stumps towards mid-wicket allowing them to take one more. Two taken.",,,313,True,,,45.2,2,2019-07-02 12:54:11
3676,MS Dhoni,63881,Mustafizur Rahman,"FOUR! Punched and punched with power. Good length ball around off, Dhoni gets on his back foot and punches it hard through point for a boundary.",,,312,True,1,,45.1,4,2019-07-02 12:53:21
3632,Dinesh Karthik,3782,Shakib Al Hasan,"On middle, Karthik looks to flick but gets a leading edge which goes back towards the bowler. Excellent sell from Shakib. 10-0-41-1 here.",,,310,True,,,44.6,0,2019-07-02 12:51:25
3632,Dinesh Karthik,3782,Shakib Al Hasan,"Beautiful. Away spinner pitching on off, Dinesh looks to defend but misses.",,,309,True,,,44.5,0,2019-07-02 12:51:04
3676,MS Dhoni,3782,Shakib Al Hasan,"On middle and leg, Dhoni flicks it to the on side and gets a single.",,,308,True,,,44.4,1,2019-07-02 12:50:23
3676,MS Dhoni,3782,Shakib Al Hasan,"Floated on off, Dhoni defends it off the front foot.",,,307,True,,,44.3,0,2019-07-02 12:50:08
3632,Dinesh Karthik,3782,Shakib Al Hasan,"On the pads, DK gets off the mark in this World Cup with a simple flick.",,,306,True,,,44.2,1,2019-07-02 12:49:49
65756,Rishabh Pant,3782,Shakib Al Hasan,"OUT! Pant holes out! Fumble but taken. The risk of giving Shakib the ball against Pant has worked. He bowls it slower through the air on off and middle, Pant goes for a big slog sweep. He does not time it and it goes straight to Mosaddek at deep backward square leg. He fumbles the first time, the ball hits his shoulder and then comes back down. He fumbles for the second time as well but manages to hold onto it on the third time.",W,65756,304,True,,1,44.1,0,2019-07-02 12:48:03
3676,MS Dhoni,4371,Rubel Hossain,"FOUR! Pulled and pulled fine. Short ball on middle, Dhoni pulls it over square leg for a boundary. Good end to the over this.",,,303,True,1,,43.6,4,2019-07-02 12:46:30
3676,MS Dhoni,4371,Rubel Hossain,"On middle and leg, Dhoni flicks it but finds short mid-wicket.",,,302,True,,,43.5,0,2019-07-02 12:45:55
65756,Rishabh Pant,4371,Rubel Hossain,"On off, Pant guides it down to third man and gets a single.",,,301,True,,,43.4,1,2019-07-02 12:45:14
65756,Rishabh Pant,4371,Rubel Hossain,"Another play and miss. Outside off on a length, Pant looks to drive again but misses.",,,300,True,,,43.3,0,2019-07-02 12:44:32
65756,Rishabh Pant,4371,Rubel Hossain,"Good length ball outside off, Pant looks to drive but misses.",,,299,True,,,43.2,0,2019-07-02 12:43:55
65756,Rishabh Pant,4371,Rubel Hossain,"FOUR LEG BYES! Slower one to begin the over. It is down the leg side, Pant looks to flick but it goes off his thigh pad. The ball bounces in front of Mushfiqur and he misfields. The ball goes past him to the third man fence.",lb,,298,True,,,43.1,4,2019-07-02 12:43:32
3676,MS Dhoni,3782,Shakib Al Hasan,"Short on off, Dhoni punches it to cover.",,,296,True,,,42.6,0,2019-07-02 12:41:42
3676,MS Dhoni,3782,Shakib Al Hasan,"Floated on off, Dhoni pushes it to cover.",,,295,True,,,42.5,0,2019-07-02 12:41:23
65756,Rishabh Pant,3782,Shakib Al Hasan,This time glances it wide of short mid-wicket and gets a single.,,,294,True,,,42.4,1,2019-07-02 12:40:54
65756,Rishabh Pant,3782,Shakib Al Hasan,"On the pads, Pant flicks it to the man at mid-wicket.",,,293,True,,,42.3,0,2019-07-02 12:40:36
65756,Rishabh Pant,3782,Shakib Al Hasan,"Short around off, Pant cuts it wide of sweeper cover. Rubel Hossain in the deep runs and dives to his left. He fumbles so they get the second with ease.",,,292,True,,,42.2,2,2019-07-02 12:39:50
65756,Rishabh Pant,3782,Shakib Al Hasan,"On the pads, Pant glances it to the man at short fine leg.",,,291,True,,,42.1,0,2019-07-02 12:39:24
65756,Rishabh Pant,63881,Mustafizur Rahman,"Short ball on off, Pant pulls it to fine leg and keeps the strike.",,,290,True,,,41.6,1,2019-07-02 12:38:26
3676,MS Dhoni,63881,Mustafizur Rahman,"Good length ball on the pads, Dhoni flicks it wide of mid-wicket and gets three as it is hit on the longer side of the boundary.",,,289,True,,,41.5,3,2019-07-02 12:37:35
3676,MS Dhoni,63881,Mustafizur Rahman,"Length ball on off, Dhoni punches it to the man at cover.",,,288,True,,,41.4,0,2019-07-02 12:36:50
65756,Rishabh Pant,63881,Mustafizur Rahman,"On the pads, Pant turns it behind square on the leg side and gets a single.",,,287,True,,,41.3,1,2019-07-02 12:36:14
65756,Rishabh Pant,63881,Mustafizur Rahman,"Back of a length ball on off, Pant pulls it to short mid-wicket. Pant wanted a run but Dhoni says no.",,,286,True,,,41.2,0,2019-07-02 12:35:42
65756,Rishabh Pant,63881,Mustafizur Rahman,WIDE! Bounce bounces too high. It is over the head of Pant and it has been wided.,wd,,285,True,,,41.2,1,2019-07-02 12:35:03
65756,Rishabh Pant,63881,Mustafizur Rahman,"FOUR! Poor start to the over for Mustafizur. He drags it down on the body, Pant pulls it over square leg and gets a boundary.",,,284,True,1,,41.1,4,2019-07-02 12:34:11
3676,MS Dhoni,3782,Shakib Al Hasan,"Short on off, Dhoni punches it back to the bowler.",,,282,True,,,40.6,0,2019-07-02 12:32:43
65756,Rishabh Pant,3782,Shakib Al Hasan,"Shorter on off, Pant cuts it to deep point and gets to the other end.",,,281,True,,,40.5,1,2019-07-02 12:32:20
65756,Rishabh Pant,3782,Shakib Al Hasan,"On the middle and leg, Pant turns it to mid-wicket.",,,280,True,,,40.4,0,2019-07-02 12:32:04
3676,MS Dhoni,3782,Shakib Al Hasan,"Drag down this one. But it keeps low, MS punches it to long on and gets a single.",,,279,True,,,40.3,1,2019-07-02 12:31:36
65756,Rishabh Pant,3782,Shakib Al Hasan,"Short again on off, Pant this time cuts it towards point and takes one.",,,278,True,,,40.2,1,2019-07-02 12:31:11
3676,MS Dhoni,3782,Shakib Al Hasan,"Short on off, Dhoni punches it to long off and gets a single.",,,277,True,,,40.1,1,2019-07-02 12:30:44
3676,MS Dhoni,64151,Mohammad Saifuddin,"Good length ball on off, Dhoni punches it to sweeper cover and gets a single.",,,274,True,,,39.6,1,2019-07-02 12:29:01
65756,Rishabh Pant,64151,Mohammad Saifuddin,Once again pulls it but this time there is a man in the deep at mid-wicket so just a single.,,,273,True,,,39.5,1,2019-07-02 12:28:07
65756,Rishabh Pant,64151,Mohammad Saifuddin,"FOUR! Hat-trick of boundaries here for Pant. Pressure on the bowler now. Good length ball around off, Pant shows his quick hand work and cuts it through point for a boundary. This is the best shot of the lot.",,,272,True,1,,39.4,4,2019-07-02 12:27:31
65756,Rishabh Pant,64151,Mohammad Saifuddin,"FOUR! Two in two for Pant! Short ball around the body, Pant picks the length early and whacks his pull over mid-wicket for a boundary.",,,271,True,1,,39.3,4,2019-07-02 12:26:54
65756,Rishabh Pant,64151,Mohammad Saifuddin,"FOUR! Crisply driven. Fuller outside off, Pant gets on his front foot and drives it nonchalantly through covers for a boundary.",,,270,True,1,,39.2,4,2019-07-02 12:26:14
65756,Rishabh Pant,64151,Mohammad Saifuddin,"Back of a length ball, Pant defends it off the back foot.",,,269,True,,,39.1,0,2019-07-02 12:25:40
3676,MS Dhoni,63881,Mustafizur Rahman,"Good length ball on off, Dhoni punches it to cover. End of an excellent over. It is a double-wicket maiden from Mustafizur.",,,267,True,,,38.6,0,2019-07-02 12:24:24
3676,MS Dhoni,63881,Mustafizur Rahman,"Outside off, Dhoni calmly leaves it alone.",,,266,True,,,38.5,0,2019-07-02 12:23:45
63751,Hardik Pandya,63881,Mustafizur Rahman,"OUT! Pandya goes for a duck! Second wicket in the over for Mustafizur and this is the second big fish off just 3 balls. Mashrafe keeps a wide first slip for Pandya. Mustafizur rolls his fingers on this one and bowls it outside off. Hardik Pandya shuffles across and looks to punch it. He ends up getting a thick outside edge, which goes to the right of Sarkar at wide first slip who takes a very fine low catch. No Pandya show today. This is a big blow for India. The onus to up the run rate has been on Hardik in the tournament.",W,63751,264,True,,1,38.4,0,2019-07-02 12:21:42
63751,Hardik Pandya,63881,Mustafizur Rahman,Hardik starts his innings with a careful front foot defense.,,,263,True,,,38.3,0,2019-07-02 12:19:53
3993,Virat Kohli,63881,Mustafizur Rahman,"OUT! Kohli holes out! Another wicket which has come against the run of play here. The bowling change has worked here for Bangladesh and Mashrafe. Mustafizur bends his back and bowls it short. Kohli goes for a big pull, he times it well but does not get the desired elevation. The ball goes to the man at deep mid-wicket. Rubel Hossain stationed there stretches his hands up in the air and takes a fine catch. The skipper's streak of 5 consecutive 50-plus scores comes to an end.",W,3993,261,True,,1,38.2,0,2019-07-02 12:17:55
3993,Virat Kohli,63881,Mustafizur Rahman,"Good length ball on off, Kohli punches it to the man at cover.",,,260,True,,,38.1,0,2019-07-02 12:17:02
65756,Rishabh Pant,61831,Soumya Sarkar,"Good running this! Good length ball on middle and leg, Pant flicks it wide of deep mid-wicket. Kohli wants two and he has young Pant with him so he gets it with ease.",,,258,True,,,37.6,2,2019-07-02 12:15:40
65756,Rishabh Pant,61831,Soumya Sarkar,"The keeper comes up now. It is on the pads, Pant looks to flick but it goes off his pads.",,,257,True,,,37.5,0,2019-07-02 12:15:13
3993,Virat Kohli,61831,Soumya Sarkar,"Fuller on off, Kohli drives it to the left of mid off and gets a single.",,,256,True,,,37.4,1,2019-07-02 12:14:20
3993,Virat Kohli,61831,Soumya Sarkar,"Full on middle, Kohli whips it with great timing wide of deep mid-wicket and they get a couple.",,,255,True,,,37.3,2,2019-07-02 12:13:54
65756,Rishabh Pant,61831,Soumya Sarkar,"On the pads, Pant now plays a proper flick and gets a single.",,,254,True,,,37.2,1,2019-07-02 12:12:58
65756,Rishabh Pant,61831,Soumya Sarkar,FOUR! WOW! Pant showing his innovative strokes here. He premeditates his sweep. Soumya bowls it on the body but Pant still goes with it and gets it past short fine leg for a boundary.,,,253,True,1,,37.1,4,2019-07-02 12:12:17
65756,Rishabh Pant,3782,Shakib Al Hasan,"On the pads, Pant turns it to square leg and gets a single.",,,252,True,,,36.6,1,2019-07-02 12:10:12
65756,Rishabh Pant,3782,Shakib Al Hasan,"Now tries to show aggression and comes down the track. He yorks himself around off, but Pant gets his bat down in time.",,,251,True,,,36.5,0,2019-07-02 12:09:50
65756,Rishabh Pant,3782,Shakib Al Hasan,"FOUR! This is smart from young Pant. Shakib tosses it on the pads, Pant sees there is no one in the deep at square leg so he just plays a good looking sweep there and fetches himself a boundary.",,,250,True,1,,36.4,4,2019-07-02 12:09:17
3993,Virat Kohli,3782,Shakib Al Hasan,"Tossed up on off, Kohli nudges it to long off and gets to the other end.",,,249,True,,,36.3,1,2019-07-02 12:08:33
3993,Virat Kohli,3782,Shakib Al Hasan,Now calmly defends the next ball towards point.,,,248,True,,,36.2,0,2019-07-02 12:08:19
3993,Virat Kohli,3782,Shakib Al Hasan,"FOUR! What a shot! This shows the class of Kohli. Floated on middle, Kohli comes down the track and whips it away through mid-wicket for a boundary.",,,247,True,1,,36.1,4,2019-07-02 12:07:51
3993,Virat Kohli,61831,Soumya Sarkar,"Back of a length ball on off, Kohli defends it with soft hands and takes a single.",,,245,True,,,35.6,1,2019-07-02 12:06:21
3993,Virat Kohli,61831,Soumya Sarkar,"Short ball, Kohli pulls it to short mid-wicket.",,,244,True,,,35.5,0,2019-07-02 12:05:55
3993,Virat Kohli,61831,Soumya Sarkar,"On the pads, Kohli flicks it behind square and gets a couple. Wait a minute, Mashrafe is asking for a review but the DRS time is up. Also, it has been given as a run. So what was he thinking? Soumya thinks it has hit his boot first. Replays show that it came right off the middle of Virat's bat.",,,243,True,,,35.4,2,2019-07-02 12:04:37
65756,Rishabh Pant,61831,Soumya Sarkar,"Slower ball on the pads, Pant flicks it to the on side and gets to the other end.",,,242,True,,,35.3,1,2019-07-02 12:04:02
3993,Virat Kohli,61831,Soumya Sarkar,"On off and middle, Kohli drives it to long on and rotates the strike.",,,241,True,,,35.2,1,2019-07-02 12:03:35
65756,Rishabh Pant,61831,Soumya Sarkar,"Good length ball on off, Pant lofts it over covers but gets just a single.",,,240,True,,,35.1,1,2019-07-02 12:02:59
65756,Rishabh Pant,4371,Rubel Hossain,"Slower one on top of off, Pant guides it down to third man and keeps the strike with a comfortable single.",,,238,True,,,34.6,1,2019-07-02 12:01:30
65756,Rishabh Pant,4371,Rubel Hossain,"Around off, Pant defends it to point.",,,237,True,,,34.5,0,2019-07-02 12:00:56
3993,Virat Kohli,4371,Rubel Hossain,"Good running. Length ball on off, Kohli taps it towards point and calls for a quick single. The fielder has a shy at the bowler's end but misses.",,,236,True,,,34.4,1,2019-07-02 12:00:16
3993,Virat Kohli,4371,Rubel Hossain,"Better ball this. Good length ball on off, Kohli defends it with authority.",,,235,True,,,34.3,0,2019-07-02 11:59:45
3993,Virat Kohli,4371,Rubel Hossain,"FOUR! Whipped as smooth as butter! Full around off, Kohli flicks it through mid-wicket. Mortaza at short mid-wicket does not even move an inch as the ball goes past him like a rocket.",,,234,True,1,,34.2,4,2019-07-02 11:59:03
65756,Rishabh Pant,4371,Rubel Hossain,"Too straight on the pads, Pant looks to flick but misses. The ball goes off his thigh pad towards fine leg and they take a leg bye.",lb,,233,True,,,34.1,1,2019-07-02 11:58:27
65756,Rishabh Pant,57952,Mosaddek Hossain,Now smartly flicks this one and gets a simple single.,,,232,True,,,33.6,1,2019-07-02 11:56:42
65756,Rishabh Pant,57952,Mosaddek Hossain,"SIX! That has disappeared way into the stands. Floated on middle and off, Pant comes down the track and demolishes it over the long on fence for a huge six. First boundary for Pant.",,,231,True,1,,33.5,6,2019-07-02 11:56:04
65756,Rishabh Pant,57952,Mosaddek Hossain,"Tossed up on middle and off, Pant blocks it off his front foot.",,,230,True,,,33.4,0,2019-07-02 11:55:46
65756,Rishabh Pant,57952,Mosaddek Hossain,"Shorter on the pads, Pant looks to flick but misses. Mosaddek and Rahim go up in appeal but the umpire turns it down.",,,229,True,,,33.3,0,2019-07-02 11:55:25
65756,Rishabh Pant,57952,Mosaddek Hossain,"Tossed up on the stumps, Pant defends it off the front foot.",,,228,True,,,33.2,0,2019-07-02 11:55:09
65756,Rishabh Pant,57952,Mosaddek Hossain,"Floated on off, Pant comes down the track and defends it.",,,227,True,,,33.1,0,2019-07-02 11:54:56
65756,Rishabh Pant,57952,Mosaddek Hossain,"WIDE! Bowls it down the leg side, Pant looks to flick but misses. Wide signalled.",wd,,226,True,,,33.1,1,2019-07-02 11:54:39
65756,Rishabh Pant,4371,Rubel Hossain,"Pant is off the mark. Good length ball on the pads, Pant flicks it to square leg and keeps the strike with a single.",,,224,True,,,32.6,1,2019-07-02 11:53:32
65756,Rishabh Pant,4371,Rubel Hossain,"Nervous start from Pant. He started it this way in the last game too. Good length ball outside off, Pant has a poke at it but misses.",,,223,True,,,32.5,0,2019-07-02 11:52:50
60122,KL Rahul,4371,Rubel Hossain,"OUT! Rahul departs! Slower delivery outside off, Rahul looks to cut but gets a thick outside edge which goes to Mushfiqur behind the stumps. He dives to his right and takes a very good low catch. Once again Rahul gets a start in this World Cup but cannot convert it. Two wickets in relatively quick succession for Bangladesh and now they are into India's rusty middle order.",W,60122,221,True,,1,32.4,0,2019-07-02 11:48:13
3993,Virat Kohli,4371,Rubel Hossain,Follows it up with a single down to mid-wicket.,,,220,True,,,32.3,1,2019-07-02 11:47:12
3993,Virat Kohli,4371,Rubel Hossain,"FOUR! Exquisite! Overpitched on off, Kohli gets on his front foot and drives it handsomely straight as an arrow for a beautiful boundary.",,,219,True,1,,32.2,4,2019-07-02 11:46:41
3993,Virat Kohli,4371,Rubel Hossain,Play and a miss. It is on the fourth stump line. A line which tempts the batsman to drive. Kohli too  goes for it but misses.,,,218,True,,,32.1,0,2019-07-02 11:45:59
3993,Virat Kohli,61831,Soumya Sarkar,"On top of the stumps, Kohli punches it wide of mid off and keeps the strike.",,,217,True,,,31.6,1,2019-07-02 11:45:17
3993,Virat Kohli,61831,Soumya Sarkar,"Good length ball on middle, Kohli turns it behind square on the leg side and gets a couple.",,,216,True,,,31.5,2,2019-07-02 11:44:38
3993,Virat Kohli,61831,Soumya Sarkar,Slower ball which is almost as full as a yorker. Kohli strokes it to mid on.,,,215,True,,,31.4,0,2019-07-02 11:44:11
3993,Virat Kohli,61831,Soumya Sarkar,"Length ball on off, Kohli taps it back to the bowler.",,,214,True,,,31.3,0,2019-07-02 11:43:30
60122,KL Rahul,61831,Soumya Sarkar,"On the pads, Rahul flicks it towards mid-wicket for a single.",,,213,True,,,31.2,1,2019-07-02 11:43:08
60122,KL Rahul,61831,Soumya Sarkar,"Good length ball on off, Rahul comes down the track and lofts it over point. The sweeper cover runs to his left and parries it to Rubel Hossain who comes from third man. Two taken.",,,212,True,,,31.1,2,2019-07-02 11:42:30
3993,Virat Kohli,4371,Rubel Hossain,"Length delivery on off, Rahul punches it to the man at cover.",,,211,True,,,30.6,0,2019-07-02 11:41:28
60122,KL Rahul,4371,Rubel Hossain,"Fuller on off, KL strokes it to the off side and gets to the other end.",,,210,True,,,30.5,1,2019-07-02 11:40:46
3993,Virat Kohli,4371,Rubel Hossain,"Kohli is off the mark! Fuller on off, Kohli defends it with soft hands towards cover and gets off the mark after 4 dot balls.",,,209,True,,,30.4,1,2019-07-02 11:40:01
3993,Virat Kohli,4371,Rubel Hossain,"On the pads, Kohli plays a strong flick shot but it is to the man at short mid-wicket.",,,208,True,,,30.3,0,2019-07-02 11:39:30
60122,KL Rahul,4371,Rubel Hossain,"Outside off, Rahul cuts it to deep point and gets a single.",,,207,True,,,30.2,1,2019-07-02 11:38:46
60122,KL Rahul,4371,Rubel Hossain,"On the stumps, Rahul defends it off the front foot.",,,206,True,,,30.1,0,2019-07-02 11:38:12
3993,Virat Kohli,61831,Soumya Sarkar,"Fuller on middle and leg, Kohli looks to drive but gets an inside edge onto his pads.",,,204,True,,,29.6,0,2019-07-02 11:37:03
3993,Virat Kohli,61831,Soumya Sarkar,"On the stumps, Kohli defends it calmly.",,,203,True,,,29.5,0,2019-07-02 11:36:31
3993,Virat Kohli,61831,Soumya Sarkar,Kohli starts his innings with a solid front foot defense.,,,202,True,,,29.4,0,2019-07-02 11:36:08
60122,KL Rahul,61831,Soumya Sarkar,"On the pads, Rahul flicks it to square leg and gets to the other end.",,,201,True,,,29.3,1,2019-07-02 11:35:40
3852,Rohit Sharma,61831,Soumya Sarkar,"OUT! Caught! This has come against the run of play. End of a terrific knock this. Knowing Rohit though he will be gutted. Sarkar bowls it full around off, Rohit looks to hit it over mid off. He does not time it well though as the bat turns in his hand. It goes to the left of mid off. Liton Das at mid off moves to that side and takes an easy catch. End of a fabulous innings by Rohit. He walks off to a well deserved ovation form the crowd.",W,3852,199,True,,1,29.2,0,2019-07-02 11:33:48
3852,Rohit Sharma,61831,Soumya Sarkar,"FOUR! Poor ball this. On the pads, Rohit won't miss out on that especially at this stage of his innings. He flicks it with ease through mid-wicket for a boundary.",,,198,True,1,,29.1,4,2019-07-02 11:32:38
3852,Rohit Sharma,3782,Shakib Al Hasan,100 FOR ROHIT! His 4th in this World Cup. What a player! What a knock this has been! The Hit Man gets to his 26th ODI hundred with a cut to deep point. He raises the bat in appreciation and soaks in all the applause.,,,197,True,,,28.6,1,2019-07-02 11:31:26
3852,Rohit Sharma,3782,Shakib Al Hasan,Makes the crowd wait as he taps it back to the bowler.,,,196,True,,,28.5,0,2019-07-02 11:31:08
60122,KL Rahul,3782,Shakib Al Hasan,Rahul flicks it to the on side and gives the strike to Rohit.,,,195,True,,,28.4,1,2019-07-02 11:30:51
3852,Rohit Sharma,3782,Shakib Al Hasan,Comes down the track and milks it to long on for another run. Moves to 99.,,,194,True,,,28.3,1,2019-07-02 11:30:28
3852,Rohit Sharma,3782,Shakib Al Hasan,"Ohh! That one stays low. Straighter one outside off, Rohit looks to cut but the ball keeps low. It misses the stumps and hits the pad of the keeper.",,,193,True,,,28.2,0,2019-07-02 11:30:10
3852,Rohit Sharma,3782,Shakib Al Hasan,"Floated on off, Rohit strokes it to cover. He looks for a single but then does not go with it. Good call, the single was never there.",,,192,True,,,28.1,0,2019-07-02 11:29:51
60122,KL Rahul,61831,Soumya Sarkar,"Good length ball on off, Rahul strokes it to mid on. Another over ends without troubling the two batsmen.",,,191,True,,,27.6,0,2019-07-02 11:28:49
3852,Rohit Sharma,61831,Soumya Sarkar,"Outside off, Rohit cuts it to deep point and rotates the strike.",,,190,True,,,27.5,1,2019-07-02 11:28:23
3852,Rohit Sharma,61831,Soumya Sarkar,"On off, Rohit punches it to cover.",,,189,True,,,27.4,0,2019-07-02 11:27:54
3852,Rohit Sharma,61831,Soumya Sarkar,WIDE! Bouncer bounces too high. It goes over the head of Rohit. It has been wided.,wd,,188,True,,,27.4,1,2019-07-02 11:27:36
60122,KL Rahul,61831,Soumya Sarkar,"On the fourth stump line, Rahul slaps it hard but there is a man at sweeper cover so just one.",,,187,True,,,27.3,1,2019-07-02 11:27:01
60122,KL Rahul,61831,Soumya Sarkar,"Good length ball around off, Rahul makes room and punches it straight back to the bowler.",,,186,True,,,27.2,0,2019-07-02 11:26:33
3852,Rohit Sharma,61831,Soumya Sarkar,"Fuller on off, Rohit slaps it to sweeper cover and rotates the strike.",,,185,True,,,27.1,1,2019-07-02 11:26:02
60122,KL Rahul,3782,Shakib Al Hasan,"On the stumps, Rahul blocks it.",,,184,True,,,26.6,0,2019-07-02 11:24:33
3852,Rohit Sharma,3782,Shakib Al Hasan,"Shorter on off, Rohit punches it towards mid-wicket and gets a single. Moves to 96.",,,183,True,,,26.5,1,2019-07-02 11:24:18
