Date,Time,CO(GT),PT08.S1(CO),NMHC(GT)
16/03/2004,10.00.00,5,3,1735
16/03/2004,11.00.00,4,1,1571
16/03/2004,12.00.00,3,3,1452
16/03/2004,13.00.00,4,1579,366
16/03/2004,14.00.00,3,8,1466
16/03/2004,15.00.00,2,8,1280
16/03/2004,16.00.00,2,9,1407
16/03/2004,17.00.00,2,9,1389
16/03/2004,18.00.00,3,4,1447
16/03/2004,19.00.00,3,9,1551
16/03/2004,20.00.00,3,2,1474
16/03/2004,21.00.00,5,1,1800
16/03/2004,22.00.00,2,6,1379
16/03/2004,23.00.00,1,7,1201
17/03/2004,00.00.00,1,7,1205
17/03/2004,01.00.00,1,2,1072
17/03/2004,02.00.00,0,9,998
17/03/2004,03.00.00,0,7,933
17/03/2004,04.00.00,-200,883,17
17/03/2004,05.00.00,0,5,869
17/03/2004,06.00.00,0,5,891
17/03/2004,07.00.00,1,6,1173
17/03/2004,08.00.00,4,1,1587
17/03/2004,09.00.00,6,6,1852
17/03/2004,10.00.00,4,3,1522
17/03/2004,11.00.00,2,9,1438
17/03/2004,12.00.00,2,5,1393
17/03/2004,13.00.00,2,8,1452
17/03/2004,14.00.00,2,6,1389
17/03/2004,15.00.00,2,1207,103
17/03/2004,16.00.00,2,9,1365
17/03/2004,17.00.00,2,5,1247
17/03/2004,18.00.00,5,1557,386
17/03/2004,19.00.00,7,6,1973
17/03/2004,20.00.00,6,7,1975
17/03/2004,21.00.00,5,7,1795
17/03/2004,22.00.00,2,8,1444
17/03/2004,23.00.00,2,6,1488
18/03/2004,00.00.00,2,3,1371
18/03/2004,01.00.00,1,4,1161
18/03/2004,02.00.00,1,1064,44
18/03/2004,03.00.00,0,7,970
18/03/2004,04.00.00,-200,954,28
18/03/2004,05.00.00,0,6,931
18/03/2004,06.00.00,0,7,938
18/03/2004,07.00.00,1,5,1166
18/03/2004,08.00.00,4,7,1643
18/03/2004,09.00.00,6,6,1934
18/03/2004,10.00.00,4,5,1617
18/03/2004,11.00.00,2,8,1473
18/03/2004,12.00.00,2,2,1379
18/03/2004,13.00.00,2,2,1385
18/03/2004,14.00.00,2,3,1379
18/03/2004,15.00.00,2,2,1322
18/03/2004,16.00.00,2,8,1496
18/03/2004,17.00.00,2,7,1409
18/03/2004,18.00.00,3,7,1513
18/03/2004,19.00.00,5,1,1667
18/03/2004,20.00.00,5,1,1667
18/03/2004,21.00.00,3,2,1430
18/03/2004,22.00.00,2,1,1333
18/03/2004,23.00.00,1,7,1262
19/03/2004,00.00.00,2,1287,-200
19/03/2004,01.00.00,1,6,1134
19/03/2004,02.00.00,0,9,999
19/03/2004,03.00.00,0,7,961
19/03/2004,04.00.00,-200,934,-200
19/03/2004,05.00.00,0,5,913
19/03/2004,06.00.00,0,7,969
19/03/2004,07.00.00,1,5,1182
19/03/2004,08.00.00,4,8,1740
19/03/2004,09.00.00,6,2,1819
19/03/2004,10.00.00,4,1427,-200
19/03/2004,11.00.00,3,3,1390
19/03/2004,12.00.00,2,8,1283
19/03/2004,13.00.00,3,1304,-200
19/03/2004,14.00.00,3,3,1364
19/03/2004,15.00.00,3,5,1410
19/03/2004,16.00.00,4,1476,-200
19/03/2004,17.00.00,4,6,1522
19/03/2004,18.00.00,4,1,1442
19/03/2004,19.00.00,4,5,1469
19/03/2004,20.00.00,3,9,1467
19/03/2004,21.00.00,4,1421,-200
19/03/2004,22.00.00,2,2,1175
19/03/2004,23.00.00,2,1,1215
20/03/2004,00.00.00,1,7,1127
20/03/2004,01.00.00,1,6,1090
20/03/2004,02.00.00,1,3,1017
20/03/2004,03.00.00,1,3,997
20/03/2004,04.00.00,-200,945,-200
20/03/2004,05.00.00,0,8,956
20/03/2004,06.00.00,0,8,966
20/03/2004,07.00.00,1,1,1064
20/03/2004,08.00.00,2,1,1300
20/03/2004,09.00.00,2,4,1348
20/03/2004,10.00.00,2,6,1425
20/03/2004,11.00.00,2,8,1474
20/03/2004,12.00.00,2,6,1490
20/03/2004,13.00.00,2,6,1495
20/03/2004,14.00.00,2,1,1376
20/03/2004,15.00.00,1,7,1305
20/03/2004,16.00.00,1,6,1283
20/03/2004,17.00.00,2,1,1392
20/03/2004,18.00.00,2,3,1452
20/03/2004,19.00.00,3,5,1633
20/03/2004,20.00.00,3,9,1625
20/03/2004,21.00.00,3,3,1535
20/03/2004,22.00.00,2,3,1323
20/03/2004,23.00.00,2,1,1309
21/03/2004,00.00.00,2,8,1456
21/03/2004,01.00.00,2,1,1300
21/03/2004,02.00.00,1,6,1203
21/03/2004,03.00.00,1,6,1195
21/03/2004,04.00.00,-200,1117,-200
21/03/2004,05.00.00,1,1,1062
21/03/2004,06.00.00,0,7,947
21/03/2004,07.00.00,0,8,1065
21/03/2004,08.00.00,1,2,1155
21/03/2004,09.00.00,1,4,1220
21/03/2004,10.00.00,1,7,1301
21/03/2004,11.00.00,1,8,1279
21/03/2004,12.00.00,1,8,1267
21/03/2004,13.00.00,1,9,1239
21/03/2004,14.00.00,1,3,1128
21/03/2004,15.00.00,1,6,1243
21/03/2004,16.00.00,1,9,1208
21/03/2004,17.00.00,2,3,1306
21/03/2004,18.00.00,3,8,1546
21/03/2004,19.00.00,3,5,1501
21/03/2004,20.00.00,4,3,1605
21/03/2004,21.00.00,2,8,1316
21/03/2004,22.00.00,1,9,1195
21/03/2004,23.00.00,1,9,1211
22/03/2004,00.00.00,1,7,1161
22/03/2004,01.00.00,1,5,1095
22/03/2004,02.00.00,0,6,897
22/03/2004,03.00.00,0,4,842
22/03/2004,04.00.00,-200,854,-200
22/03/2004,05.00.00,0,3,845
22/03/2004,06.00.00,0,6,942
22/03/2004,07.00.00,1,2,1090
22/03/2004,08.00.00,3,6,1514
22/03/2004,09.00.00,3,7,1379
22/03/2004,10.00.00,1,8,1074
22/03/2004,11.00.00,1,6,1090
22/03/2004,12.00.00,1,9,1110
22/03/2004,13.00.00,2,1102,-200
22/03/2004,14.00.00,2,2,1100
22/03/2004,15.00.00,2,1,1094
22/03/2004,16.00.00,2,3,1076
22/03/2004,17.00.00,2,6,1152
22/03/2004,18.00.00,3,8,1407
22/03/2004,19.00.00,4,4,1438
22/03/2004,20.00.00,4,5,1425
22/03/2004,21.00.00,3,3,1279
22/03/2004,22.00.00,2,1132,143
22/03/2004,23.00.00,1,1,1006
23/03/2004,00.00.00,0,9,982
23/03/2004,01.00.00,0,8,969
23/03/2004,02.00.00,0,7,941
23/03/2004,03.00.00,0,5,892
23/03/2004,04.00.00,-200,855,25
23/03/2004,05.00.00,0,3,834
23/03/2004,06.00.00,0,5,909
23/03/2004,07.00.00,1,1,1061
23/03/2004,08.00.00,3,1441,248
23/03/2004,09.00.00,3,8,1498
23/03/2004,10.00.00,3,4,1343
23/03/2004,11.00.00,3,1308,325
23/03/2004,12.00.00,2,7,1209
23/03/2004,13.00.00,3,5,1310
23/03/2004,14.00.00,2,8,1171
23/03/2004,15.00.00,1,9,1112
23/03/2004,16.00.00,2,1132,118
23/03/2004,17.00.00,3,1225,276
23/03/2004,18.00.00,1,9,1065
23/03/2004,19.00.00,2,7,1236
23/03/2004,20.00.00,3,3,1309
23/03/2004,21.00.00,1,7,1089
23/03/2004,22.00.00,1,3,1000
23/03/2004,23.00.00,1,3,1041
24/03/2004,00.00.00,1,2,1045
24/03/2004,01.00.00,1,1,997
24/03/2004,02.00.00,0,9,948
24/03/2004,03.00.00,0,6,878
24/03/2004,04.00.00,-200,908,29
24/03/2004,05.00.00,0,6,892
24/03/2004,06.00.00,0,8,954
24/03/2004,07.00.00,1,2,1045
24/03/2004,08.00.00,3,1,1383
24/03/2004,09.00.00,4,4,1597
24/03/2004,10.00.00,3,4,1318
24/03/2004,11.00.00,1,7,1138
24/03/2004,12.00.00,1,5,1098
24/03/2004,13.00.00,1,7,1118
24/03/2004,14.00.00,2,2,1170
24/03/2004,15.00.00,-200,1112,122
24/03/2004,16.00.00,2,7,1390
24/03/2004,17.00.00,2,8,1353
24/03/2004,18.00.00,2,7,1260
24/03/2004,19.00.00,4,5,1501
24/03/2004,20.00.00,3,5,1273
24/03/2004,21.00.00,2,6,1179
24/03/2004,22.00.00,1,7,1047
24/03/2004,23.00.00,1,3,973
25/03/2004,00.00.00,1,3,997
25/03/2004,01.00.00,1,970,52
25/03/2004,02.00.00,0,7,902
25/03/2004,03.00.00,0,7,921
25/03/2004,04.00.00,0,5,858
25/03/2004,05.00.00,0,5,878
25/03/2004,06.00.00,0,6,893
25/03/2004,07.00.00,1,1,1038
25/03/2004,08.00.00,2,7,1320
25/03/2004,09.00.00,3,5,1353
25/03/2004,10.00.00,2,3,1133
25/03/2004,11.00.00,1,6,1066
25/03/2004,12.00.00,1,3,1027
25/03/2004,13.00.00,2,1106,211
25/03/2004,14.00.00,1,9,1038
25/03/2004,15.00.00,1,9,1084
25/03/2004,16.00.00,2,2,1105
25/03/2004,17.00.00,2,1102,143
25/03/2004,18.00.00,2,9,1240
25/03/2004,19.00.00,5,2,1443
25/03/2004,20.00.00,4,6,1389
25/03/2004,21.00.00,2,5,1183
25/03/2004,22.00.00,1,5,1014
25/03/2004,23.00.00,1,2,979
26/03/2004,00.00.00,1,7,1048
26/03/2004,01.00.00,1,4,1024
26/03/2004,02.00.00,1,2,974
26/03/2004,03.00.00,0,6,862
26/03/2004,04.00.00,0,7,925
26/03/2004,05.00.00,0,8,952
26/03/2004,06.00.00,0,9,1005
26/03/2004,07.00.00,1,6,1122
26/03/2004,08.00.00,3,4,1351
26/03/2004,09.00.00,3,8,1408
26/03/2004,10.00.00,3,1,1304
26/03/2004,11.00.00,2,7,1207
26/03/2004,12.00.00,2,1099,181
26/03/2004,13.00.00,2,3,1106
26/03/2004,14.00.00,1,9,1009
26/03/2004,15.00.00,1,3,962
26/03/2004,16.00.00,1,9,1093
26/03/2004,17.00.00,2,3,1180
26/03/2004,18.00.00,2,4,1168
26/03/2004,19.00.00,2,7,1168
26/03/2004,20.00.00,2,6,1140
26/03/2004,21.00.00,1,5,1001
26/03/2004,22.00.00,1,2,953
26/03/2004,23.00.00,1,1,972
27/03/2004,00.00.00,1,5,1021
27/03/2004,01.00.00,1,940,57
27/03/2004,02.00.00,1,2,1046
27/03/2004,03.00.00,1,1,1026
27/03/2004,04.00.00,-200,983,48
27/03/2004,05.00.00,0,8,915
27/03/2004,06.00.00,0,9,935
27/03/2004,07.00.00,1,1,976
27/03/2004,08.00.00,1,5,1124
27/03/2004,09.00.00,1,8,1163
27/03/2004,10.00.00,2,1,1167
27/03/2004,11.00.00,2,1,1121
27/03/2004,12.00.00,1,9,1071
27/03/2004,13.00.00,2,1,1065
27/03/2004,14.00.00,2,5,1157
27/03/2004,15.00.00,1,9,1046
27/03/2004,16.00.00,2,2,1147
27/03/2004,17.00.00,2,3,1119
27/03/2004,18.00.00,2,7,1210
27/03/2004,19.00.00,3,1306,306
27/03/2004,20.00.00,2,8,1258
27/03/2004,21.00.00,2,2,1148
27/03/2004,22.00.00,1,6,1108
27/03/2004,23.00.00,2,1,1231
28/03/2004,00.00.00,2,3,1293
28/03/2004,01.00.00,2,3,1274
28/03/2004,02.00.00,1,7,1135
28/03/2004,03.00.00,2,2,1151
28/03/2004,04.00.00,1,3,1010
28/03/2004,05.00.00,0,8,870
28/03/2004,06.00.00,1,1,983
28/03/2004,07.00.00,1,4,995
28/03/2004,08.00.00,1,3,1024
28/03/2004,09.00.00,1,9,1163
28/03/2004,10.00.00,2,3,1218
28/03/2004,11.00.00,2,3,1210
28/03/2004,12.00.00,1,8,1114
28/03/2004,13.00.00,1,4,995
28/03/2004,14.00.00,1,927,55
28/03/2004,15.00.00,1,4,1002
28/03/2004,16.00.00,1,3,987
28/03/2004,17.00.00,1,3,993
28/03/2004,18.00.00,1,4,1012
28/03/2004,19.00.00,1,9,1114
28/03/2004,20.00.00,1,8,1093
28/03/2004,21.00.00,1,1,968
28/03/2004,22.00.00,1,1,960
28/03/2004,23.00.00,1,1,942
29/03/2004,00.00.00,0,9,888
29/03/2004,01.00.00,0,6,818
29/03/2004,02.00.00,0,5,840
29/03/2004,03.00.00,0,7,894
29/03/2004,04.00.00,0,6,864
29/03/2004,05.00.00,0,7,898
29/03/2004,06.00.00,0,9,946
29/03/2004,07.00.00,2,9,1309
29/03/2004,08.00.00,4,1,1326
29/03/2004,09.00.00,1,5,966
29/03/2004,10.00.00,1,5,975
29/03/2004,11.00.00,1,5,988
29/03/2004,12.00.00,1,4,971
29/03/2004,13.00.00,1,6,1010
29/03/2004,14.00.00,1,5,984
29/03/2004,15.00.00,1,4,962
29/03/2004,16.00.00,1,5,1012
29/03/2004,17.00.00,1,9,1058
29/03/2004,18.00.00,2,5,1173
29/03/2004,19.00.00,2,1,1127
29/03/2004,20.00.00,1,6,1020
29/03/2004,21.00.00,1,2,949
29/03/2004,22.00.00,1,1,930
29/03/2004,23.00.00,1,900,55
30/03/2004,00.00.00,1,899,33
30/03/2004,01.00.00,0,7,866
30/03/2004,02.00.00,0,7,900
30/03/2004,03.00.00,0,8,949
30/03/2004,04.00.00,-200,897,29
30/03/2004,05.00.00,0,7,956
30/03/2004,06.00.00,1,1,1054
30/03/2004,07.00.00,2,6,1343
30/03/2004,08.00.00,4,1584,664
30/03/2004,09.00.00,4,2,1556
30/03/2004,10.00.00,4,7,1565
30/03/2004,11.00.00,3,9,1429
30/03/2004,12.00.00,3,7,1419
30/03/2004,13.00.00,3,4,1373
30/03/2004,14.00.00,2,2,1185
30/03/2004,15.00.00,1,9,1122
30/03/2004,16.00.00,1,6,1085
30/03/2004,17.00.00,2,1,1249
30/03/2004,18.00.00,2,2,1236
30/03/2004,19.00.00,2,7,1334
30/03/2004,20.00.00,2,4,1264
30/03/2004,21.00.00,1,3,1073
30/03/2004,22.00.00,1,2,1053
30/03/2004,23.00.00,1,5,1098
31/03/2004,00.00.00,1,3,1029
31/03/2004,01.00.00,1,973,50
31/03/2004,02.00.00,0,9,972
31/03/2004,03.00.00,0,5,832
31/03/2004,04.00.00,0,5,851
31/03/2004,05.00.00,0,6,909
31/03/2004,06.00.00,1,1038,57
31/03/2004,07.00.00,3,1,1636
31/03/2004,08.00.00,4,1,1580
31/03/2004,09.00.00,2,2,1262
31/03/2004,10.00.00,1,7,1197
31/03/2004,11.00.00,1,9,1277
31/03/2004,12.00.00,2,9,1430
31/03/2004,13.00.00,2,2,1242
31/03/2004,14.00.00,2,6,1349
31/03/2004,15.00.00,3,1,1390
31/03/2004,16.00.00,2,3,1224
31/03/2004,17.00.00,2,4,1253
31/03/2004,18.00.00,2,8,1312
31/03/2004,19.00.00,2,7,1254
31/03/2004,20.00.00,2,3,1198
31/03/2004,21.00.00,1,5,1060
31/03/2004,22.00.00,1,4,1050
31/03/2004,23.00.00,1,2,1029
01/04/2004,00.00.00,1,6,1143
01/04/2004,01.00.00,1,2,1044
01/04/2004,02.00.00,1,1,1034
01/04/2004,03.00.00,0,9,956
01/04/2004,04.00.00,0,7,909
01/04/2004,05.00.00,0,9,996
01/04/2004,06.00.00,1,7,1154
01/04/2004,07.00.00,4,2,1510
01/04/2004,08.00.00,6,2,1722
01/04/2004,09.00.00,4,6,1512
01/04/2004,10.00.00,2,8,1258
01/04/2004,11.00.00,1,6,1094
01/04/2004,12.00.00,1,7,1129
01/04/2004,13.00.00,1,7,1125
01/04/2004,14.00.00,1,7,-200
01/04/2004,15.00.00,1,9,-200
01/04/2004,16.00.00,2,3,-200
01/04/2004,17.00.00,3,3,1308
01/04/2004,18.00.00,4,2,1529
01/04/2004,19.00.00,5,5,1592
01/04/2004,20.00.00,4,9,1536
01/04/2004,21.00.00,2,5,1192
01/04/2004,22.00.00,2,1186,188
01/04/2004,23.00.00,2,1203,120
02/04/2004,00.00.00,2,1139,157
02/04/2004,01.00.00,1,3,1072
02/04/2004,02.00.00,1,954,68
02/04/2004,03.00.00,0,9,951
02/04/2004,04.00.00,-200,926,36
02/04/2004,05.00.00,0,7,968
02/04/2004,06.00.00,1,1,1067
02/04/2004,07.00.00,2,6,1386
02/04/2004,08.00.00,3,9,1474
02/04/2004,09.00.00,5,1569,798
02/04/2004,10.00.00,3,3,1375
02/04/2004,11.00.00,2,9,1328
02/04/2004,12.00.00,3,1,1341
02/04/2004,13.00.00,3,1297,461
02/04/2004,14.00.00,2,7,1303
02/04/2004,15.00.00,2,7,1281
02/04/2004,16.00.00,2,6,1248
02/04/2004,17.00.00,3,7,1382
02/04/2004,18.00.00,4,5,1491
02/04/2004,19.00.00,4,7,1620
02/04/2004,20.00.00,5,5,1693
02/04/2004,21.00.00,3,1374,415
02/04/2004,22.00.00,1,9,1287
02/04/2004,23.00.00,2,3,1408
03/04/2004,00.00.00,1,6,1254
03/04/2004,01.00.00,1,3,1141
03/04/2004,02.00.00,1,2,1141
03/04/2004,03.00.00,0,9,1042
03/04/2004,04.00.00,0,8,986
03/04/2004,05.00.00,0,8,1005
03/04/2004,06.00.00,0,9,1041
03/04/2004,07.00.00,2,1272,200
03/04/2004,08.00.00,3,1436,451
03/04/2004,09.00.00,3,1,1472
03/04/2004,10.00.00,-200,1418,-200
03/04/2004,11.00.00,-200,1410,-200
03/04/2004,12.00.00,-200,1438,-200
03/04/2004,13.00.00,-200,1278,-200
03/04/2004,14.00.00,-200,1257,-200
03/04/2004,15.00.00,-200,1331,-200
03/04/2004,16.00.00,-200,1361,-200
03/04/2004,17.00.00,-200,1398,-200
03/04/2004,18.00.00,-200,1483,-200
03/04/2004,19.00.00,-200,1697,-200
03/04/2004,20.00.00,-200,1459,-200
03/04/2004,21.00.00,-200,1268,-200
03/04/2004,22.00.00,-200,1469,-200
03/04/2004,23.00.00,-200,1316,-200
04/04/2004,00.00.00,-200,1224,-200
04/04/2004,01.00.00,-200,1215,-200
04/04/2004,02.00.00,-200,1115,-200
04/04/2004,03.00.00,-200,1124,-200
04/04/2004,04.00.00,-200,1028,-200
04/04/2004,05.00.00,-200,1010,-200
04/04/2004,06.00.00,-200,1074,-200
04/04/2004,07.00.00,-200,1034,-200
04/04/2004,08.00.00,-200,1130,-200
04/04/2004,09.00.00,-200,1275,-200
04/04/2004,10.00.00,-200,1324,-200
04/04/2004,11.00.00,-200,1268,-200
04/04/2004,12.00.00,-200,1272,-200
04/04/2004,13.00.00,-200,1160,-200
04/04/2004,14.00.00,-200,1136,-200
04/04/2004,15.00.00,-200,1296,-200
04/04/2004,16.00.00,-200,1345,-200
04/04/2004,17.00.00,-200,1296,-200
04/04/2004,18.00.00,-200,1258,-200
04/04/2004,19.00.00,-200,1420,-200
04/04/2004,20.00.00,-200,1366,-200
04/04/2004,21.00.00,-200,1113,-200
04/04/2004,22.00.00,-200,1196,-200
04/04/2004,23.00.00,-200,1188,-200
05/04/2004,00.00.00,-200,1102,-200
05/04/2004,01.00.00,-200,969,-200
05/04/2004,02.00.00,-200,983,-200
05/04/2004,03.00.00,-200,876,-200
05/04/2004,04.00.00,-200,884,-200
05/04/2004,05.00.00,-200,1024,-200
05/04/2004,06.00.00,-200,1126,-200
05/04/2004,07.00.00,-200,1415,-200
05/04/2004,08.00.00,-200,1631,-200
05/04/2004,09.00.00,-200,1499,-200
05/04/2004,10.00.00,3,1,1461
05/04/2004,11.00.00,3,1430,339
05/04/2004,12.00.00,3,2,1498
05/04/2004,13.00.00,3,1,1454
05/04/2004,14.00.00,2,5,1402
05/04/2004,15.00.00,2,1,1327
05/04/2004,16.00.00,2,1273,245
05/04/2004,17.00.00,3,2,1457
05/04/2004,18.00.00,4,1,1543
05/04/2004,19.00.00,3,9,1499
05/04/2004,20.00.00,3,1,1378
05/04/2004,21.00.00,2,1243,178
05/04/2004,22.00.00,1,7,1196
05/04/2004,23.00.00,1,6,1137
06/04/2004,00.00.00,1,1015,101
06/04/2004,01.00.00,0,8,978
06/04/2004,02.00.00,0,5,933
06/04/2004,03.00.00,0,5,927
06/04/2004,04.00.00,0,5,908
06/04/2004,05.00.00,0,8,980
06/04/2004,06.00.00,1,7,1236
06/04/2004,07.00.00,4,5,1664
06/04/2004,08.00.00,6,2,1757
06/04/2004,09.00.00,4,4,1524
06/04/2004,10.00.00,2,9,1329
06/04/2004,11.00.00,1,6,1167
06/04/2004,12.00.00,2,6,1369
06/04/2004,13.00.00,2,9,1284
06/04/2004,14.00.00,2,5,1221
06/04/2004,15.00.00,1,9,1096
06/04/2004,16.00.00,1,9,1143
06/04/2004,17.00.00,2,7,1251
06/04/2004,18.00.00,3,1268,470
06/04/2004,19.00.00,3,3,1314
06/04/2004,20.00.00,3,2,1315
06/04/2004,21.00.00,1,8,1095
06/04/2004,22.00.00,1,3,1027
06/04/2004,23.00.00,1,1,1012
07/04/2004,00.00.00,0,9,948
07/04/2004,01.00.00,0,7,889
07/04/2004,02.00.00,0,4,830
07/04/2004,03.00.00,0,3,801
07/04/2004,04.00.00,0,3,804
07/04/2004,05.00.00,0,3,824
07/04/2004,06.00.00,0,8,1000
07/04/2004,07.00.00,2,8,1307
07/04/2004,08.00.00,3,1,1286
07/04/2004,09.00.00,2,3,1150
07/04/2004,10.00.00,1,6,1087
07/04/2004,11.00.00,1,5,1016
07/04/2004,12.00.00,1,6,1029
07/04/2004,13.00.00,1,8,1109
07/04/2004,14.00.00,1,4,997
07/04/2004,15.00.00,1,9,1177
07/04/2004,16.00.00,1,2,1045
07/04/2004,17.00.00,2,3,1171
07/04/2004,18.00.00,3,3,1221
07/04/2004,19.00.00,3,1,1262
07/04/2004,20.00.00,3,3,1207
07/04/2004,21.00.00,1,2,956
07/04/2004,22.00.00,1,3,1020
07/04/2004,23.00.00,1,9,1107
08/04/2004,00.00.00,1,4,1020
08/04/2004,01.00.00,1,5,1051
08/04/2004,02.00.00,1,1,965
08/04/2004,03.00.00,0,8,890
08/04/2004,04.00.00,-200,823,38
08/04/2004,05.00.00,0,8,869
08/04/2004,06.00.00,1,1,939
08/04/2004,07.00.00,2,6,1274
08/04/2004,08.00.00,5,1,1512
08/04/2004,09.00.00,4,2,1435
08/04/2004,10.00.00,2,6,1207
08/04/2004,11.00.00,2,4,1223
08/04/2004,12.00.00,2,1,1121
08/04/2004,13.00.00,2,6,1176
08/04/2004,14.00.00,2,8,1144
08/04/2004,15.00.00,2,5,1136
08/04/2004,16.00.00,1,9,1085
08/04/2004,17.00.00,3,6,1297
08/04/2004,18.00.00,4,6,1408
